Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Nov 30,81.4,190,34,41,0,3,9774,-0.03,977.66,2712
Dec 1,81.4,190,46,43,0,6,7068,0.15,976.8,3034
Dec 2,81.4,190,36,43,3,6,10618,-1.97,976.26,3020
Dec 3,81.4,190,22,41,0,1,7358,-2.9,990.87,2558
Dec 4,81.4,190,27,43,0,4,10070,-2.79,994.19,2778
Dec 5,81.4,190,29,40,2,7,9299,-3.2,987.08,3018
Dec 6,81.4,190,27,41,16,7,9982,-3.9,987.92,3035
Dec 7,81.4,190,31,41,0,7,5866,-1.29,991.64,2549
Dec 8,81.4,190,53,46,6,17,10497,-1.05,991.65,2775
Dec 9,81.4,190,33,45,10,2,4468,-1.42,988.72,2777
Dec 10,81.4,190,46,46,0,3,2855,0.19,982.65,2562
Dec 11,81.4,190,47,45,22,9,10028,5.22,978.01,3226
Dec 12,81.4,190,44,45,58,6,6105,5.84,980.8,3195
Dec 13,81.4,190,37,45,4,2,7112,3.44,975.31,2699
Dec 14,81.4,190,36,45,2,0,4799,3.85,983.27,2498
Dec 15,81.4,190,45,44,12,8,7356,1.55,1002.14,2803
Dec 16,81.4,190,30,45,0,8,6807,3.93,1008.37,2555
Dec 17,81.4,190,33,44,0,5,3168,5.89,1005.45,2450
Dec 18,81.4,190,44,47,6,5,8810,8.22,1000.76,3048
Dec 19,81.4,190,48,42,215,57,29165,8.67,991.58,4484
Dec 20,81.4,190,33,44,44,2,8292,5.64,982.24,3039
Dec 21,81.4,190,50,48,9,12,9833,5.14,969.95,3011
Dec 22,81.4,190,46,44,6,10,8158,3.4,961.3,2840
Dec 23,81.4,190,43,49,0,9,11668,1.12,969.32,2681
Dec 24,81.4,190,32,43,0,6,6408,3.48,976.38,2608
Dec 25,81.4,190,37,43,0,23,6220,10.61,976.82,2599
Dec 26,81.4,190,32,43,0,3,3574,10,982.69,2376
Dec 27,81.4,190,20,41,0,2,4256,4.65,994,2298
