Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Paź 6,78,178,35,53,2,18,9393,13.52,997.55,2453
Paź 7,78,178,43,55,67,19,8573,16.69,989,3039
Paź 8,78,178,27,57,0,12,3220,10.64,992.9,2164
Paź 9,78,178,30,53,0,14,6883,5.85,993.79,2360
Paź 10,78,178,47,60,0,8,10372,9.65,993.72,2554
Paź 11,78,178,43,54,9,2,7708,15.48,991.04,2801
Paź 12,78,178,49,62,5,4,5508,17.95,988.37,2423
Paź 13,78,178,40,54,141,6,11858,17.14,989.21,3666
Paź 14,78,178,33,56,9,10,9518,17.15,982.25,2558
Paź 15,78,178,32,61,45,11,6741,9.91,987.29,2684
Paź 16,78,178,38,60,0,11,7165,7.1,992.7,2470
Paź 17,78,178,39,54,6,14,9268,6.96,994.46,2714
Paź 18,78,178,36,57,4,0,6490,5.88,989.45,2617
Paź 19,78,178,59,61,27,6,9452,7.18,976.54,3299
Paź 20,78,178,36,61,22,10,8132,14.08,966.53,2629
Paź 21,78,178,46,54,118,24,11136,17.31,973.86,3532
Paź 22,78,178,32,59,0,7,1819,13.85,980.39,2109
Paź 23,78,178,44,56,9,10,8581,11.4,989.09,2717
Paź 24,78,178,42,58,9,2,11151,10.61,982.34,2836
Paź 25,78,178,38,63,0,2,8706,11.83,973.76,2517
Paź 26,78,178,55,62,6,13,9270,10.71,970.87,2750
Paź 27,78,178,36,60,0,13,5272,10.72,966.99,2318
Paź 28,78,178,40,55,73,9,9137,11.79,976.21,2853
Paź 29,78,178,34,59,7,10,3138,12.75,981.32,2366
Paź 30,78,178,39,55,8,11,8549,12.42,981.05,2904
Paź 31,78,178,32,58,4,19,7197,14.92,975.52,2490
Lis 1,78,178,36,58,17,15,9044,10.8,983.36,2595
Lis 2,78,178,44,60,45,9,11238,11,974.44,3154
