Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Sie 10,85.4,180,30,64,178,4,6839,16.66,994.16,3514
Sie 11,85.4,180,55,79,7,5,6806,18.01,995.82,2565
Sie 12,85.4,180,68,75,360,4,7877,20.57,994.31,4957
Sie 13,85.4,180,-1,,0,0,0,23.02,992.36,2231
Sie 14,85.4,180,70,79,11,4,6391,26.01,993.13,2661
Sie 15,85.4,180,22,63,0,3,4268,26,992.73,2393
Sie 16,85.4,180,23,63,0,2,3622,25.72,992.41,2330
Sie 17,85.4,180,33,63,0,7,4138,23.38,992.97,2357
Sie 18,85.4,180,-1,,0,0,0,23.26,991.66,2231
Sie 19,85.4,180,76,71,39,3,6673,24.56,992.25,3004
Sie 20,85.4,180,-1,,0,0,0,25.44,993.51,2231
Sie 21,85.4,180,60,77,16,4,6555,24.83,994.45,2618
Sie 22,85.4,180,65,73,157,3,256,25.4,992.51,3302
Sie 23,85.4,180,76,82,3,3,6994,23.28,990.83,2691
Sie 24,85.4,180,33,65,28,3,12262,22.13,991.06,2769
Sie 25,85.4,180,50,75,14,4,6313,23.83,986.13,2494
Sie 26,85.4,180,-1,,0,0,24,22.44,985.66,2231
Sie 27,85.4,180,-1,,0,0,0,22.17,982.55,2231
Sie 28,85.4,180,59,81,7,4,6668,19.16,982.44,2546
Sie 29,85.4,180,31,74,78,3,5888,21.45,978.16,2945
Sie 30,85.4,180,58,81,6,5,7087,17.91,978.92,2555
Sie 31,85.4,180,44,78,167,1,9006,17.13,984.46,3468
Wrz 1,85.4,180,46,74,9,8,7250,17.32,990.11,2506
Wrz 2,85.4,180,69,88,296,0,248,18.26,993.15,4134
Wrz 3,85.4,180,-1,,0,0,0,17.26,995.8,2231
Wrz 4,85.4,180,57,77,23,3,6663,16.91,999.88,2718
Wrz 5,85.4,180,71,84,164,5,4749,17.34,999.5,3499
Wrz 6,85.4,180,67,82,26,4,7636,18.05,997.8,2839
