Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Wrz 8,78,178,25,54,0,22,8024,19.81,996.33,2405
Wrz 9,78,178,24,58,0,4,2096,19.96,994.34,2101
Wrz 10,78,178,35,53,8,6,7785,21.55,992.57,2433
Wrz 11,78,178,36,55,166,15,10203,21.62,989,3395
Wrz 12,78,178,40,53,247,8,15056,22.08,987.39,4058
Wrz 13,78,178,27,58,0,1,6788,22.66,986.66,2239
Wrz 14,78,178,26,54,0,10,4945,18.52,991.52,2178
Wrz 15,78,178,30,59,0,14,9367,17.91,995.76,2292
Wrz 16,78,178,46,59,0,0,1040,16.76,994.01,2085
Wrz 17,78,178,31,54,0,1,6149,19.93,992.2,2320
Wrz 18,78,178,39,52,198,8,14610,20.96,988.33,3773
Wrz 19,78,178,41,55,11,5,7510,17.36,984.81,2699
Wrz 20,78,178,37,53,11,9,8908,17.63,988.95,2772
Wrz 21,78,178,46,62,2,5,7282,19.82,984.06,2404
Wrz 22,78,178,42,60,5,22,6586,21.42,979.77,2457
Wrz 23,78,178,28,51,3,14,9192,16.37,986.46,2495
Wrz 24,78,178,28,54,0,4,979,14.18,997.18,2053
Wrz 25,78,178,46,63,0,6,6680,16.56,999.71,2348
Wrz 26,78,178,33,61,0,7,5163,19.76,998.15,2152
Wrz 27,78,178,46,62,6,3,2421,19.54,997.28,2192
Wrz 28,78,178,44,62,0,11,11089,18.69,995.08,2791
Wrz 29,78,178,40,59,0,26,11923,18.32,994.73,2550
Wrz 30,78,178,28,52,0,10,10898,13.97,994.88,2439
Paź 1,78,178,23,46,0,3,1301,12.2,997.73,2097
Paź 2,78,178,48,61,3,7,10099,15.41,996.99,2840
Paź 3,78,178,33,55,0,8,6374,18.34,990.77,2295
Paź 4,78,178,37,56,6,15,6716,14.6,997.43,2485
Paź 5,78,178,38,59,5,18,6870,12.99,996.29,2396
