Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Lip 13,85.4,180,37,65,36,3,10373,20.49,987.25,2789
Lip 14,85.4,180,44,68,96,8,11028,21.61,991.24,3218
Lip 15,85.4,180,-1,,0,0,0,25.26,988.99,2231
Lip 16,85.4,180,-1,,23,3,776,27.09,988.3,4898
Lip 17,85.4,180,-1,,0,0,0,21.31,990.72,2231
Lip 18,85.4,180,-1,,0,0,0,21.41,991.7,2231
Lip 19,85.4,180,-1,,0,0,183,23.15,984.24,3275
Lip 20,85.4,180,28,59,0,3,6582,19.45,984.32,2432
Lip 21,85.4,180,-1,,0,0,0,19.41,985.36,2231
Lip 22,85.4,180,82,68,366,0,374,19.86,986.84,4500
Lip 23,85.4,180,-1,,0,0,0,21.81,987.45,2231
Lip 24,85.4,180,-1,,0,0,0,24.08,981.25,2231
Lip 25,85.4,180,-1,,0,0,0,19.53,976.78,2231
Lip 26,85.4,180,-1,,0,0,0,14.54,980.43,2231
Lip 27,85.4,180,39,68,115,6,8249,16.72,985.26,3275
Lip 28,85.4,180,38,68,3,4,6546,19.6,981.88,2389
Lip 29,85.4,180,-1,,0,0,0,21.2,983.46,2231
Lip 30,85.4,180,29,67,0,3,2257,21.33,984.31,2296
Lip 31,85.4,180,68,71,6,3,7226,20.15,985.6,2537
Sie 1,85.4,180,-1,,0,0,0,18.03,979.18,2231
Sie 2,85.4,180,-1,,0,0,0,20.48,978.68,2231
Sie 3,85.4,180,43,66,0,4,11297,18.68,979.65,2623
Sie 4,85.4,180,31,64,0,5,9056,20.41,985.37,2527
Sie 5,85.4,180,88,72,155,0,262,19.61,981.77,3242
Sie 6,85.4,180,27,66,0,3,5303,16.85,973.42,2453
Sie 7,85.4,180,80,71,14,3,6486,15.37,979.73,2838
Sie 8,85.4,180,90,72,140,2,304,16.14,987.74,3147
Sie 9,85.4,180,62,73,32,2,7092,16.89,989.03,2823
